,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Albany,US,1571979798,42.65,-73.75,50.0,75,1,5.82
1,Eyl,SO,1571979845,7.98,49.82,81.32,70,67,6.55
2,Mahanoro,MG,1571979846,-19.9,48.8,76.24,84,37,18.75
3,New Norfolk,AU,1571979846,-42.78,147.06,66.2,39,71,21.92
4,Yellowknife,CA,1571979846,62.45,-114.38,30.2,86,75,16.11
5,Butaritari,KI,1571979847,3.07,172.79,84.36,67,100,3.06
6,Busselton,AU,1571979728,-33.64,115.35,75.99,34,85,12.19
7,Merauke,ID,1571979847,-8.49,140.4,86.45,62,81,12.84
8,Nyurba,RU,1571979847,63.29,118.35,24.4,77,60,5.82
9,Puerto Madero,AR,1571979847,-34.61,-58.36,66.2,63,75,4.7
10,Padang,ID,1571979847,-0.92,100.36,74.61,85,33,4.0
11,Muravlenko,RU,1571979848,63.79,74.5,21.29,89,90,21.52
12,Saskylakh,RU,1571979848,71.97,114.09,8.15,87,27,15.52
13,Nikolskoye,RU,1571979848,59.7,30.79,45.0,86,59,4.47
14,Ushuaia,AR,1571979661,-54.81,-68.31,41.0,80,73,29.97
15,Cayenne,GF,1571979848,4.94,-52.33,75.2,100,22,1.12
16,Hofn,IS,1571979785,64.25,-15.21,36.95,64,100,43.22
17,Hasaki,JP,1571979700,35.73,140.83,66.2,100,75,16.11
18,Qaanaaq,GL,1571979849,77.48,-69.36,30.24,80,100,19.06
19,Rio Gallegos,AR,1571979849,-51.62,-69.22,46.09,64,82,5.57
20,Linjiang,CN,1571979849,41.81,126.91,41.16,94,100,5.03
21,Vardo,US,1571979849,39.62,-77.74,52.0,93,1,3.36
22,Pisco,PE,1571979850,-13.71,-76.2,61.0,87,24,1.07
23,Te Anau,NZ,1571979850,-45.41,167.72,48.69,84,64,5.08
24,Coquimbo,CL,1571979850,-29.95,-71.34,57.0,87,0,8.05
25,Edd,ER,1571979850,13.93,41.69,93.52,14,2,9.22
26,Iqaluit,CA,1571979851,63.75,-68.52,33.8,98,90,12.75
27,Punta Arenas,CL,1571979600,-53.16,-70.91,42.8,70,20,6.93
28,Dingle,PH,1571979851,11.0,122.67,84.65,75,14,10.85
29,Bluff,AU,1571979851,-23.58,149.07,86.25,19,17,8.1
30,Norman Wells,CA,1571979851,65.28,-126.83,24.8,100,90,3.36
31,Cherskiy,RU,1571979852,68.75,161.3,2.77,89,100,10.25
32,Georgetown,GY,1571979852,6.8,-58.16,75.2,100,20,13.15
33,Alice,ZA,1571979787,-32.79,26.83,76.35,21,100,17.81
